ID,Hallazgo,Severidad,Documentado_En,Realidad,Impacto_Devs_%,Impacto_Procesos,Phase,Owner,Status,Completado_%,Fecha_Creacion,Fecha_Target,Notas
H1,Versión del Proyecto,🔴 CRÍTICO,README.md:4,PHASE 3 COMPLETADA (artifacts/),100,3,PHASE 1,Project Manager,⏳,0,2026-05-09,2026-05-10,"Cambiar 'Fase 2 EN EJECUCIÓN' → 'PHASE 3 COMPLETADA'"
H2,Estructura de Carpetas docs/,🔴 CRÍTICO,GOVERNANCE.md:35,7 carpetas vs 11 prescritas,50,3,PHASE 2,Architect,⏳,0,2026-05-09,2026-05-16,"Opción A: Actualizar GOVERNANCE.md. Opción B: Refactor docs/ (disruptivo)"
H3,Duplicación categorizar_cumplimiento(),🔴 CRÍTICO,PROJECT_RULES.md:2.1,2 módulos + 1 en consolidation/,100,3,PHASE 1,Backend Dev,⏳,0,2026-05-09,2026-05-10,"Consolidar en core/semantica.py, refactor scripts/consolidation/"
H4,Autenticación Streamlit Incompleta,🔴 CRÍTICO,AUTH_CONFIG.md,Parcialmente implementada,80,3,PHASE 1,DevOps,⏳,0,2026-05-09,2026-05-10,"Verificar en Streamlit Cloud, estandarizar secrets.toml"
H5,Dependencia consolidar_api.py oculta,🔴 CRÍTICO,01_Arquitectura.md:30,Requisito no documentado,100,3,PHASE 1,Tech Writer,⏳,0,2026-05-09,2026-05-10,"Agregar diagrama de flujo ETL en docs/"
H6,IDS_PLAN_ANUAL falsa impresión,🟠 ALTO,02_Logica_Indicadores.md:40,Dinámicamente cargado (bueno),30,2,PHASE 2,Tech Writer,⏳,0,2026-05-09,2026-05-16,"Clarificar en docs que es dinámico, no hardcoded"
H7,Data Contracts NO Enforzados,🟠 ALTO,PROJECT_RULES.md + config/,Solo en config, no en loader,50,2,PHASE 2,Backend Dev,⏳,0,2026-05-09,2026-05-16,"Documentar cuándo se ejecuta validación"
H8,Skill data-validation silencioso,🟠 ALTO,.github/skills/,Importado en services/ sin docs,20,2,PHASE 2,Tech Writer,⏳,0,2026-05-09,2026-05-16,"Documentar en arquitectura que existe skill"
H9,scripts/consolidation/ huérfano,🟠 ALTO,docs/core/01,No documentado propósito,10,1,PHASE 2,Backend Dev,⏳,0,2026-05-09,2026-05-16,"Crear README si está en uso, o archivar si deprecado"
H10,Falta versionado documentos,🟡 MEDIO,docs/core/,Documentos sin fecha de actualización,50,1,PHASE 2,Tech Writer,⏳,0,2026-05-09,2026-05-16,"Agregar encabezado con Última actualización + Owner a todos"
H11,Archivos HTML en raíz sin control,🟡 MEDIO,GOVERNANCE.md,dashboard_*.html sin documentar,20,1,PHASE 3,Frontend,⏳,0,2026-05-09,2026-05-23,"Determinar: deprecados o vigentes, documentar o archivar"
H12,Config Streamlit inconsistente,🟡 MEDIO,.streamlit/,secrets.toml.example vs secrets_ejemplo.toml,30,1,PHASE 3,DevOps,⏳,0,2026-05-09,2026-05-23,"Estandarizar a .toml.template, crear README"
H13,Documentación histórica acumulada,🟢 BAJO,docs/archive/,Archivos sin revisión de vigencia,5,0,PHASE 3,Architect,⏳,0,2026-05-09,2026-05-23,"Revisar cada archivo: mantener/eliminar/mover"
H14,No README en scripts/consolidation/,🟢 BAJO,docs/,Directorio sin documentación,5,0,PHASE 3,Backend Dev,⏳,0,2026-05-09,2026-05-23,"Crear README explicando propósito"
